Date,Time,TimeSixty,Wind.Speed,Wind.Gust,Precipitation,Solar.Radiation,Air.Temperature,Vapor.Pressure,Saturation.Vapor.Pressure,RelativeHumidity,DateTimeSixty,Count60
1/9/2017,15:30:00,16:30:00,4.5,7.7,0,0.257,-1,3.6,5.7,63.15789474,2017-01-09_16:30:00,7
1/9/2017,16:30:00,17:30:00,4.7,8.5,0,0.151,-0.8,3.6,5.8,62.06896552,2017-01-09_17:30:00,3
1/9/2017,17:30:00,18:30:00,2.9,4.8,0,0.032,-0.6,3.8,5.8,65.51724138,2017-01-09_18:30:00,10
1/9/2017,18:30:00,19:30:00,3,4.8,0,0,-0.8,3.9,5.8,67.24137931,2017-01-09_19:30:00,2
1/10/2017,15:30:00,16:30:00,8.9,14.4,0.15,0.014,8.5,10.3,11.1,92.79279279,2017-01-10_16:30:00,9
1/10/2017,16:30:00,17:30:00,10.3,20.5,0.44,0.014,9.9,11.1,12.2,90.98360656,2017-01-10_17:30:00,27
1/10/2017,17:30:00,18:30:00,10,19.5,0.44,0.023,11.7,11.6,13.8,84.05797101,2017-01-10_18:30:00,17
1/10/2017,18:30:00,19:30:00,11,19.5,2.8,0,10.3,10.7,12.6,84.92063492,2017-01-10_19:30:00,12
1/11/2017,15:30:00,16:30:00,5,8.8,0,0.054,8.7,10.8,11.2,96.42857143,2017-01-11_16:30:00,20
1/11/2017,16:30:00,17:30:00,4,7.5,0.15,0.032,8.9,11,11.4,96.49122807,2017-01-11_17:30:00,3
1/11/2017,17:30:00,18:30:00,4.1,7.5,0.15,0.009,10.8,12.6,13,96.92307692,2017-01-11_18:30:00,13
1/12/2017,15:30:00,16:30:00,5,7.2,0,0.119,0.1,5.7,6.1,93.44262295,2017-01-12_16:30:00,35
1/12/2017,16:30:00,17:30:00,5.4,8,0,0.056,-0.7,5.4,5.8,93.10344828,2017-01-12_17:30:00,43
1/12/2017,17:30:00,18:30:00,6.4,8.8,0,0.011,-1.2,5,5.6,89.28571429,2017-01-12_18:30:00,55
1/12/2017,18:30:00,19:30:00,6.2,8,0,0,-1.9,4.8,5.3,90.56603774,2017-01-12_19:30:00,16
1/17/2017,15:30:00,16:30:00,4.9,8.5,0,0.047,5.4,8.5,9,94.44444444,2017-01-17_16:30:00,38
1/17/2017,16:30:00,17:30:00,4.5,8.8,0,0.038,5.2,8.2,8.8,93.18181818,2017-01-17_17:30:00,38
1/17/2017,17:30:00,18:30:00,4.3,7.5,0,0.013,4.4,7.8,8.3,93.97590361,2017-01-17_18:30:00,82
1/17/2017,18:30:00,19:30:00,5.1,7.5,0,0,3.5,7.4,7.8,94.87179487,2017-01-17_19:30:00,37
1/18/2017,15:30:00,16:30:00,3.5,5.6,0,0.131,2.7,6.7,7.4,90.54054054,2017-01-18_16:30:00,69
1/18/2017,16:30:00,17:30:00,3.8,6.1,0,0.099,2.8,6.6,7.5,88,2017-01-18_17:30:00,13
1/18/2017,17:30:00,18:30:00,3.2,5.9,0,0.013,2.8,6.6,7.5,88,2017-01-18_18:30:00,29
1/19/2017,15:30:00,16:30:00,2.4,3.7,0,0.068,6.6,7.8,9.7,80.41237113,2017-01-19_16:30:00,79
1/19/2017,16:30:00,17:30:00,3.2,5.1,0.15,0.047,5.5,8.1,9,90,2017-01-19_17:30:00,64
1/19/2017,17:30:00,18:30:00,3.2,5.3,0,0.007,5.1,8,8.8,90.90909091,2017-01-19_18:30:00,71
1/19/2017,18:30:00,19:30:00,2.7,3.7,0.59,0,4.8,8,8.6,93.02325581,2017-01-19_19:30:00,31
1/22/2017,15:30:00,16:30:00,3.9,5.6,0,0.452,11.2,11.8,13.3,88.72180451,2017-01-22_16:30:00,1
1/22/2017,16:30:00,17:30:00,4.3,6.1,0,0.191,11.1,11.7,13.2,88.63636364,2017-01-22_17:30:00,2
1/22/2017,17:30:00,18:30:00,5.1,7.2,0,0.07,9.4,10.8,11.8,91.52542373,2017-01-22_18:30:00,1
1/23/2017,15:30:00,16:30:00,5.4,7.5,0,0.088,4.7,7.5,8.6,87.20930233,2017-01-23_16:30:00,113
1/23/2017,16:30:00,17:30:00,5.8,8.5,0,0.052,4.8,7.5,8.6,87.20930233,2017-01-23_17:30:00,22
1/23/2017,17:30:00,18:30:00,5.5,7.7,0,0.018,4.3,7.3,8.3,87.95180723,2017-01-23_18:30:00,57
1/23/2017,18:30:00,19:30:00,4.9,7.7,0,0,3.7,7.3,8,91.25,2017-01-23_19:30:00,6
